Fid  | Fname                                    | Fgroup           | Fcalorie  | Fcarb    | Fprotein | Ffat     | Fsodium   | Ffiber  | 1 | Fserving   | 10
  51 | Raw Brazil Nuts                          | Nuts and Seeds   |       180 |        3 |        4 |       19 |         0 |       2 | 1 | 1 OZ       | 10
  55 | Burrito Wrapper                          | Baked Foods      |       127 |       29 |        5 |        1 |        83 |     0.4 | 1 | 1          | 10
  57 | V8 Original                              | Vegetables       |        30 |        6 |        1 |        0 |       440 |    0.68 | 1 | 5.5 OZ     | 10
  60 | Muscle Milk Yogurt Smoothie              | Dairy and Egg    |       390 |       35 |       43 |        9 |       325 |       5 | 1 | 10 OZ      | 10
  65 | Progresso Italian Style Bread Crumbs     | Baked Foods      |       100 |       18 |        4 |        1 |       420 |       2 | 1 | 1/4 CUP    | 10
  69 | Open Face Sardine Sandwich               | Fish             |       370 |       24 |       26 |     19.5 |       591 |       2 | 1 | each       | 10
  70 | Ham and Cheese Sandwich                  | Meats            |       550 |       50 |       33 |       25 |       710 |       4 | 1 | each       | 10
  71 | Red Neck Bloody Mary                     | Beverages        |       158 |        6 |        1 |        0 |       440 |    0.68 | 1 | each       | 10
  72 | Salad w/ Cashews, Craisins, Dressing     | Vegetables       |       375 |       44 |        7 |       20 |       403 |       5 | 1 | each       | 10
  73 | Open Face Tuna Salad Sandwich            | Fish             |       270 |       24 |     16.5 |     12.5 |       500 |       2 | 1 | each       | 10
  74 | Muscle Milk Banana Smoothie              | Dairy and Egg    |     324.5 |     31.5 |     32.5 |        9 |     270.5 |    5.55 | 1 | each       | 10
  77 | Salad Greens                             | Vegetables       |         9 |        2 |        1 |        0 |        16 |     1.1 | 1 | CUP        | 10
  79 | Boneyard Grill Steakhouse Salad          | Meats            |       918 |     27.5 |     59.5 |     60.5 |      1549 |       3 | 1 | each       | 10
  86 | Open Face Peanut Butter and Date Sandwic | Vegetables       |       510 |       65 |       13 |     23.5 |       291 |       2 | 1 | each       | 10
  88 | Barilla Fettuccine                       | Grains and Pasta |       200 |       42 |        7 |        1 |         0 |       2 | 1 | 2 OZ       | 10
  89 | Spagetti                                 | Grains and Pasta |     459.5 |       52 |     31.5 |    13.25 |        75 |       2 | 1 | each       | 10
  93 | Tuna salad sandwich                      | Fish             |       375 |       53 |     21.5 |      9.5 |       705 |       4 | 1 | each       | 10
  97 | Taproom California Club Wrap             | Meats            |       399 |     31.7 |     32.5 |    17.84 |       527 |     0.4 | 1 | each       | 10
  99 | Triscuit, Summer Sausage & Cheese        | Meats            |       430 |       20 |     21.5 |       29 |       340 |       3 | 1 | each       | 10
 100 | Gold Standard Plant Protein              | Vegetables       |       150 |        6 |       24 |      3.5 |       540 |       2 | 1 | 1 SCOOP    | 10
 101 | Gold Standard Banana Smoothie            | Vegetables       |     194.5 |     17.5 |     24.5 |      3.5 |     540.5 |    3.55 | 1 | each       | 10
 102 | Avocado                                  | Vegetables       |       130 |        1 |        1 |       12 |         5 |       5 | 1 | 1/2 Medium | 10
 103 | Marie C Cheesy Chicken and Rice          | Prepared Meals   |       380 |       46 |       19 |       13 |       910 |       3 | 1 |            | 10
 104 | Carrot                                   | Vegetables       |        25 |     5.84 |     0.57 |     0.15 |        42 |     1.7 | 1 | 1 Medium   | 10
 105 | Green Peas                               | Vegetables       |        59 |     10.5 |     3.93 |     0.29 |       3.5 |     3.7 | 1 | 1/2 Cup    | 10
 106 | Green Peppers                            | Vegetables       |        15 |     3.45 |     0.64 |     0.12 |         2 |    1.25 | 1 | 1/2 Cup    | 10
 107 | Yellow Sweet Peppers                     | Vegetables       |        32 |     7.16 |     1.12 |     0.24 |         4 |     1.2 | 1 | 4 OZ       | 10
 108 | Lima Beans                               | Vegetables       |       176 |    31.47 |    10.67 |     1.34 |        12 |     7.6 | 1 | 1 CUP      | 10
 109 | Green Snap Beans                         | Vegetables       |        34 |     7.84 |        2 |     0.13 |         7 |     3.7 | 1 | 1 Cup      | 10
 110 | Acorn Winter Squash                      | Vegetables       |        56 |    14.59 |     1.12 |     0.14 |         4 |     2.1 | 1 | 1 Cup      | 10
 111 | Collard Greens (no cooking fat)          | Vegetables       |        33 |     6.25 |     2.69 |     0.46 |       362 |     3.6 | 1 | 1 Cup      | 10
 112 | Artichokes                               | Vegetables       |        84 |    13.59 |     4.21 |     2.86 |       405 |     6.5 | 1 | 1 Medium   | 10
 113 | Butternut Squash                         | Vegetables       |        82 |     21.5 |      1.8 |      0.2 |       8.2 |     6.6 | 1 | 1 Cup      | 10
 114 | Parsnips                                 | Vegetables       |       100 |     23.9 |      1.6 |      0.4 |      13.3 |     6.5 | 1 | 1 Cup      | 10
 115 | Kale                                     | Vegetables       |        47 |      6.9 |      3.8 |      1.6 |      20.8 |     5.2 | 1 | 1 Cup      | 10
 116 | Spinach                                  | Vegetables       |        41 |      6.8 |      5.3 |      0.5 |       126 |     4.3 | 1 | 1 Cup      | 10
 117 | Brussels Sprouts                         | Vegetables       |        56 |     11.1 |        4 |      0.8 |      32.8 |     4.1 | 1 | 1 Cup      | 10
 118 | Sweet Potatoes                           | Vegetables       |       114 |     26.8 |      2.1 |      0.1 |      73.2 |       4 | 1 | 1 Cup      | 10
 119 | Baked Potato                             | Vegetables       |       159 |     36.5 |      3.6 |      0.3 |      12.1 |     3.6 | 1 | 1 Medium   | 10
 120 | Asparagus                                | Vegetables       |        40 |      7.4 |      4.3 |      0.4 |      25.2 |     3.6 | 1 | 1 Cup      | 10
 121 | Turnip                                   | Vegetables       |        34 |      7.9 |      1.1 |      0.1 |        25 |     3.1 | 1 | 1 Cup      | 10
 122 | Rutabaga                                 | Vegetables       |        51 |     11.6 |      1.6 |      0.3 |       8.5 |     3.1 | 1 | 1 Cup      | 10
 123 | Sweet Corn                               | Vegetables       |       125 |     27.1 |      4.7 |        2 |      21.8 |     2.9 | 1 | 1 Cup      | 10
 124 | Eggplant                                 | Vegetables       |        35 |      8.6 |      0.8 |      0.2 |         1 |     2.5 | 1 | 1 Cup      | 10
 125 | Cabbage                                  | Vegetables       |        22 |      5.2 |      1.1 |      0.1 |        16 |     2.2 | 1 | 1 Cup      | 10
 126 | Cauliflower                              | Vegetables       |        27 |      5.3 |      2.1 |      0.3 |      32.1 |     2.1 | 1 | 1 Cup      | 10
 127 | Zucchini                                 | Vegetables       |        27 |      4.8 |      2.1 |      0.6 |       5.4 |     1.8 | 1 | 1 Cup      | 10
 128 | Tomato                                   | Fruits           |        22 |     4.82 |     1.08 |     0.25 |         6 |     1.5 | 1 | 1 Medium   | 10
 129 | Celery                                   | Vegetables       |         9 |      1.9 |      0.4 |      0.1 |      51.2 |       1 | 1 | 1 Large    | 10
 130 | Romaine Lettuce                          | Vegetables       |         8 |      1.5 |      0.6 |      0.1 |       3.8 |       1 | 1 | 1 Cup      | 10
 131 | Arby Classic Beef n Cheddar              | Restaurant Foods |       450 |       33 |       23 |       21 |      1270 |       2 | 1 | each       | 10
 132 | Arby Double Beef n Cheddar               | Restaurant Foods |       610 |       34 |       38 |       31 |      1910 |       2 | 1 | each       | 10
 133 | Arby Half Pound Beef n Cheddar           | Restaurant Foods |       710 |       34 |       48 |       37 |      2330 |       2 | 1 | each       | 10
 134 | Arby Classic Roast Beef                  | Restaurant Foods |       350 |       35 |       22 |       14 |       960 |       1 | 1 | each       | 10
 135 | Arby Double Roast Beef                   | Restaurant Foods |       500 |       36 |       38 |       24 |      1590 |       1 | 1 | each       | 10
 136 | Arby Half Pound Roast Beef               | Restaurant Foods |       610 |       36 |       48 |       30 |      2020 |       1 | 1 | each       | 10
 137 | Arby French Dip n Swiss Sandwich/Au Jus  | Restaurant Foods |       590 |       59 |       37 |       22 |      2640 |       2 | 1 | each       | 10
 138 | Arby Half Pound French Dip n Swiss Sandw | Restaurant Foods |       790 |       60 |       57 |       36 |      3490 |       2 | 1 | each       | 10
 139 | Arby Three Cheese & Bacon                | Restaurant Foods |       760 |       51 |       44 |       42 |      2230 |       2 | 1 | each       | 10
 140 | Arby Chicken Bacon Swiss                 | Restaurant Foods |       630 |       60 |       35 |       29 |      1300 |       4 | 1 | each       | 10
 141 | Arby Chicken Cordon Bleu                 | Restaurant Foods |       590 |       56 |       40 |       24 |      1530 |       3 | 1 | each       | 10
 142 | Arby Crispy Chicken                      | Restaurant Foods |       490 |       57 |       26 |       18 |      1040 |       4 | 1 | each       | 10
 143 | Arby 3 Piece Chicken Strips              | Restaurant Foods |       410 |       36 |       25 |       19 |       870 |       2 | 1 | each       | 10
 144 | Arby 5 Piece Chicken Strips              | Restaurant Foods |       680 |       59 |       42 |       31 |      1440 |       3 | 1 | each       | 10
 145 | Arby 9 Piece Premium Nuggets             | Restaurant Foods |       440 |       29 |       33 |       21 |      1210 |       2 | 1 | each       | 10
 146 | Arby Roast Turkey Ranch & Bacon          | Restaurant Foods |       780 |       77 |       43 |       34 |      2280 |       5 | 1 | each       | 10
 147 | Arby Roast Turkey & Swiss                | Restaurant Foods |       610 |       79 |       37 |       16 |      2040 |       6 | 1 | each       | 10
 148 | Arby Grand Turkey Club                   | Restaurant Foods |       410 |       40 |       29 |       15 |      1680 |       3 | 1 | each       | 10
 149 | Arby Montreal Smoked Meat Reuben         | Restaurant Foods |       610 |       59 |       34 |       26 |      1840 |       4 | 1 | each       | 10
 150 | Arby Double Montreal                     | Restaurant Foods |       610 |       59 |       47 |       20 |      2330 |       3 | 1 | each       | 10
 151 | Arby Gyro - Greek                        | Restaurant Foods |       710 |       55 |       23 |       44 |      1360 |       4 | 1 | each       | 10
 152 | Arby Gyro - Roast Beef                   | Restaurant Foods |       550 |       48 |       24 |       29 |      1290 |       3 | 1 | each       | 10
 153 | Arby Gyro - Turkey                       | Restaurant Foods |       460 |       49 |       23 |       20 |      1440 |       3 | 1 | each       | 10
 154 | Arby Curly Fries â€“ Medium              | Restaurant Foods |       410 |       51 |        5 |       22 |       750 |       4 | 1 | each       | 10
 155 | Arby Crinkle Fries                       | Restaurant Foods |       430 |       51 |        4 |       24 |       220 |       4 | 1 | Medium     | 10
 156 | Arby Mozzarella Sticks - 2               | Restaurant Foods |       230 |       20 |       11 |       12 |       690 |       1 | 1 | each       | 10
 157 | Arby Baked Potato- Deluxe                | Restaurant Foods |       740 |       77 |       19 |       40 |       980 |       8 | 1 | each       | 10
 158 | Arby 6 Piece Premium Nuggets             | Restaurant Foods |       290 |       20 |       22 |       14 |       810 |       1 | 1 | each       | 10
 159 | Arby Buffalo Chicken Slider              | Restaurant Foods |       310 |       34 |       13 |       13 |       960 |       2 | 1 | each       | 10
 160 | Arby Roast Beef n Cheese Slider          | Restaurant Foods |       220 |       22 |       12 |        9 |       580 |       1 | 1 | each       | 10
 161 | Arby Montreal Smoked Meat n Cheese Slide | Restaurant Foods |       200 |       23 |       12 |        6 |       590 |       1 | 1 | each       | 10
 162 | Arby Ham n Cheese Slider                 | Restaurant Foods |       200 |       22 |       12 |        6 |       580 |       1 | 1 | each       | 10
 163 | Arby Turkey n Cheese Slider              | Restaurant Foods |       190 |       23 |       13 |        6 |       740 |       1 | 1 | each       | 10
 164 | Arby Jr Roast Beef                       | Restaurant Foods |       210 |       24 |       13 |        7 |       520 |       1 | 1 | each       | 10
 165 | Arby Jr Bacon n Cheddar                  | Restaurant Foods |       310 |       28 |       18 |       14 |      1010 |       1 | 1 | each       | 10
 166 | Arby Jr Ham & Swiss                      | Restaurant Foods |       230 |       26 |       15 |        7 |       730 |       1 | 1 | each       | 10
 195 | Quaker 1-Minute Oatmeal                  | Grains and Pasta |       150 |       27 |        5 |        3 |         0 |       4 | 1 | 1/2 Cup    | 10
 198 | Daves Bread                              | Baked Foods      |       120 |       23 |        5 |        3 |       160 |       3 | 1 | Slice      | 10
 199 | Quest Sâ€™mores bar                      | Baked Foods      |       180 |       23 |       21 |        7 |       210 |      12 | 1 | Bar        | 10
 200 | Gorton Fish Sandwich on Daves            | Fish             |     318.5 |       38 |       11 |     15.5 |     537.5 |       4 | 1 | each       | 10
 201 | Open Face Peanut Butter and Date on Dave | Vegetables       |     402.5 |       62 |    11.25 |       15 |       160 |       3 | 1 | each       | 10
 202 | Marie C Chicken Teriyaki                 | Prepared Meals   |       350 |       55 |       20 |        5 |       840 |       3 | 1 | Bowl       | 10
 203 | Roast Beef and Cheese Sandwich on Daves  | Meats            |       528 |       46 |     26.5 |     29.5 |       626 |       6 | 1 | each       | 10
 205 | Quest Oatmeal Chec Chip Bar              | Baked Foods      |       180 |       24 |       20 |        7 |       210 |      14 | 1 | BAR        | 10
 206 | Quest Chocolate Brownie Bar              | Baked Foods      |       170 |       24 |       20 |        6 |       240 |      15 | 1 | BAR        | 10
 207 | Thomas Original English Muffins          | Baked Foods      |       150 |       28 |        5 |        1 |       240 |       1 | 1 | each       | 10
 211 | Blackberries Wild Raw (Alaska Native)    | American Indian  |     81.64 |    15.45 |     1.32 |     1.68 |      9.42 |    5.02 | 1 | 1 cup      | 10
 215 | Plums Wild (Northern Plains Indians)     | American Indian  |    146.51 |    35.34 |     0.69 |     0.27 |      6.44 |    9.66 | 1 | 1 cup      | 10
 216 | Rose Hips                                | American Indian  |    205.74 |    48.54 |     2.03 |     0.43 |      5.08 |   30.61 | 1 | 1 cup      | 10
 217 | Squash Indian Cooked Boiled (Navajo)     | American Indian  |      4.54 |     0.91 |     0.09 |     0.04 |         0 |    0.43 | 1 | 1 oz       | 10
 219 | Stew Hominy With Mutton (Navajo)         | American Indian  |    341.13 |    38.55 |    27.58 |     8.47 |    184.95 |    8.22 | 1 | 1 serving  | 10
 220 | Stew Mutton Corn Squash (Navajo)         | American Indian  |    312.09 |    22.03 |    26.12 |    13.15 |    148.47 |    5.15 | 1 | 1 serving  | 10
 221 | Tamales (Navajo)                         | American Indian  |    284.58 |     33.7 |    11.68 |    11.38 |    794.22 |    5.77 | 1 | 1 piece    | 10
 222 | Tamales Masa And Pork Filling (Hopi)     | American Indian  |    189.84 |    20.66 |     14.9 |     5.31 |    336.74 |    3.73 | 1 | 4 oz       | 10
 223 | Tortilla Blue Corn Sakwavikaviki (Hopi)  | American Indian  |    157.32 |    33.13 |     4.46 |      0.8 |    377.91 |    1.94 | 1 | 1 piece    | 10
 225 | Andreas Gluten Free Soft Dinner Roll     | Baked Foods      |    177.33 |    27.77 |      3.9 |     5.66 |    375.36 |       2 | 1 | 1 roll     | 10
 226 | Apple Strudel                            | Baked Foods      |     77.82 |    11.67 |     0.94 |     3.18 |     38.34 |    0.62 | 1 | 1 oz       | 10
 227 | Archway Home Style Cookies Dutch Cocoa   | Baked Foods      |    103.44 |    16.67 |     1.08 |      3.6 |     92.16 |    0.62 | 1 | 1 serving  | 10
 228 | Archway Home Style Cookies Frosty Lemon  | Baked Foods      |     111.8 |    16.84 |     1.15 |     4.45 |    116.74 |    0.18 | 1 | 1 serving  | 10
 229 | Archway Home Style Cookies Iced Molasses | Baked Foods      |     117.6 |    19.35 |     0.98 |     4.04 |     169.4 |    0.28 | 1 | 1 serving  | 10
 230 | Archway Home Style Cookies Iced Oatmeal  | Baked Foods      |     121.8 |    18.69 |     1.37 |     4.63 |    105.56 |    0.56 | 1 | 1 serving  | 10
 231 | Archway Home Style Cookies Molasses      | Baked Foods      |    104.78 |    18.05 |      1.1 |     3.14 |    150.02 |    0.31 | 1 | 1 serving  | 10
 232 | Archway Home Style Cookies Oatmeal       | Baked Foods      |    105.25 |    17.04 |     1.37 |     3.52 |      98.5 |    0.72 | 1 | 1 serving  | 10
 233 | Archway Home Style Cookies Peanut Butter | Baked Foods      |     100.8 |    12.28 |     1.89 |      5.1 |     84.84 |    0.59 | 1 | 1 serving  | 10
 234 | Arepa Dominicana                         | Baked Foods      |    307.05 |    35.06 |     6.49 |    16.05 |    463.45 |    2.76 | 1 | 1 piece (4 | 10
 236 | Bagel                                    | Baked Foods      |       264 |    52.38 |    10.56 |     1.32 |       422 |     1.6 | 1 | 100 g      | 10
 237 | Bagel (Oat Bran)                         | Baked Foods      |      66.3 |    13.86 |     2.78 |     0.31 |     153.4 |    0.94 | 1 | 1 mini bag | 10
 238 | Bagel Multigrain                         | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 239 | Bagel Multigrain With Raisins            | Baked Foods      |      66.3 |     13.5 |     2.47 |     0.37 |    102.96 |    1.07 | 1 | 1 miniatur | 10
 240 | Bagel Oat Bran                           | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 241 | Bagel Pumpernickel                       | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 242 | Bagel Wheat                              | Baked Foods      |       250 |    48.89 |     10.2 |     1.53 |       439 |     4.1 | 1 | 100 g      | 10
 243 | Bagel Wheat Bran                         | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 244 | Bagel Wheat With Fruit And Nuts          | Baked Foods      |       261 |    50.82 |     9.53 |     2.69 |       389 |     4.3 | 1 | 100 g      | 10
 245 | Bagel Wheat With Raisins                 | Baked Foods      |      66.3 |     13.5 |     2.47 |     0.37 |    102.96 |    1.07 | 1 | 1 miniatur | 10
 246 | Bagel Whole Grain White                  | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 247 | Bagel Whole Wheat                        | Baked Foods      |        65 |    12.71 |     2.65 |      0.4 |    114.14 |    1.07 | 1 | 1 miniatur | 10
 248 | Bagel Whole Wheat With Raisins           | Baked Foods      |      66.3 |     13.5 |     2.47 |     0.37 |    102.96 |    1.07 | 1 | 1 miniatur | 10
 249 | Bagel With Fruit Other Than Raisins      | Baked Foods      |       243 |    48.36 |     9.55 |     1.25 |       380 |     1.7 | 1 | 100 g      | 10
 250 | Bagel With Raisins                       | Baked Foods      |       268 |    55.06 |     9.81 |     1.23 |       381 |     1.8 | 1 | 100 g      | 10
 251 | Bagels                                   | Baked Foods      |    261.36 |    51.86 |    10.45 |     1.31 |    417.78 |    1.58 | 1 | 1 bagel    | 10
 252 | Bagels Multigrain                        | Baked Foods      |    195.21 |    38.45 |     8.02 |        1 |    290.79 |    5.02 | 1 | 1 piece ba | 10
 253 | Bagels Wheat                             | Baked Foods      |       245 |    47.91 |       10 |      1.5 |    430.22 |    4.02 | 1 | 1 bagel    | 10
 254 | Bagels Whole Grain White                 | Baked Foods      |    109.65 |    23.44 |        4 |        0 |    159.96 |    2.02 | 1 | 1/2 piece  | 10
 255 | Baklava                                  | Baked Foods      |    333.84 |    29.27 |     5.18 |    22.72 |    262.86 |    2.03 | 1 | 1 piece (2 | 10
 256 | Basbousa                                 | Baked Foods      |    252.56 |    41.11 |     4.09 |     8.53 |     71.34 |    0.66 | 1 | 1 piece (a | 10
 257 | Biscuit Cheese                           | Baked Foods      |     103.8 |     14.4 |     2.44 |     4.08 |     272.7 |    0.36 | 1 | 1 biscuit  | 10
 258 | Biscuit Cinnamon-Raisin                  | Baked Foods      |     220.8 |     34.2 |     3.69 |        8 |    526.72 |    1.15 | 1 | 1 biscuit  | 10
 259 | Biscuit Dough Fried                      | Baked Foods      |     150.5 |    18.37 |     2.82 |     7.49 |     348.3 |    0.86 | 1 | 1 piece    | 10
 260 | Biscuit Whole Wheat                      | Baked Foods      |     43.68 |     6.43 |     1.31 |     1.68 |    126.42 |     0.9 | 1 | 1 small (1 | 10
 262 | Biscuits Plain Or Buttermilk Dry Mix     | Baked Foods      |     513.6 |    76.08 |      9.6 |    18.48 |    1531.2 |    2.52 | 1 | 1 cup, pur | 10
 263 | Blueberry Pie                            | Baked Foods      |     65.89 |     9.91 |     0.51 |     2.84 |     81.51 |    0.28 | 1 | 1 oz       | 10
 264 | Bread Barley Toasted                     | Baked Foods      |     66.22 |    11.49 |     2.58 |      1.1 |     114.4 |    0.97 | 1 | 1 small or | 10
 265 | Bread Black Toasted                      | Baked Foods      |       275 |     52.2 |     9.56 |     3.41 |       655 |     7.1 | 1 | 100 g      | 10
 266 | Bread Boston Brown Canned                | Baked Foods      |     55.38 |     12.3 |     1.48 |     0.43 |     179.2 |    1.33 | 1 | 1 oz       | 10
 267 | Bread Caressed Puerto Rican Style        | Baked Foods      |     68.25 |    12.34 |     1.94 |     1.14 |    131.75 |    0.45 | 1 | 1 slice    | 10
 268 | Bread Cheese                             | Baked Foods      |    195.84 |    21.52 |        5 |       10 |       360 |    1.01 | 1 | 1 slice    | 10
 269 | Bread Cheese Toasted                     | Baked Foods      |     98.56 |    10.84 |     2.52 |     5.04 |    181.28 |    0.51 | 1 | 1 small or | 10
 270 | Bread Cinnamon                           | Baked Foods      |     70.84 |    12.43 |     1.97 |     1.48 |    108.64 |    0.98 | 1 | 1 slice 1  | 10
 271 | Bread Cornmeal And Molasses              | Baked Foods      |       283 |    55.21 |      6.7 |     3.81 |       317 |     1.6 | 1 | 100 g      | 10
 272 | Bread Cornmeal And Molasses Toasted      | Baked Foods      |       311 |    60.67 |     7.37 |     4.19 |       349 |     1.8 | 1 | 100 g      | 10
 273 | Bread Cracked-Wheat                      | Baked Foods      |     73.84 |    14.06 |     2.47 |     1.11 |    152.79 |    1.56 | 1 | 1 oz       | 10
 274 | Bread Crumbs Dry Grated Plain            | Baked Foods      |    112.18 |    20.44 |     3.79 |     1.51 |    207.89 |    1.28 | 1 | 1 oz       | 10
 275 | Bread Crumbs Dry Grated Seasoned         | Baked Foods      |    108.77 |    19.45 |     4.01 |     1.56 |     596.4 |    1.39 | 1 | 1 oz       | 10
 276 | Bread Cuban Toasted                      | Baked Foods      |     26.91 |     5.13 |     1.06 |     0.24 |     59.58 |    0.22 | 1 | 1 small or | 10
 277 | Bread Dough Fried                        | Baked Foods      |     99.32 |    11.66 |     2.09 |     4.89 |     46.28 |    0.39 | 1 | 1 slice or | 10
 278 | Bread Egg                                | Baked Foods      |     81.51 |    13.58 |      2.7 |      1.7 |    107.92 |    0.65 | 1 | 1 oz       | 10
 279 | Bread Egg Challah Toasted                | Baked Foods      |      56.7 |     9.46 |     1.88 |     1.19 |     75.24 |    0.45 | 1 | 1 small or | 10
 280 | Bread Egg Toasted                        | Baked Foods      |     89.46 |    14.94 |     2.98 |     1.87 |    118.43 |    0.71 | 1 | 1 oz       | 10
 281 | Bread French Or Vienna Whole Wheat       | Baked Foods      |    114.72 |    23.57 |        4 |      0.5 |       180 |    2.02 | 1 | 1 slice 1  | 10
 282 | Bread Fruit                              | Baked Foods      |    148.42 |    19.42 |     2.44 |     7.11 |    125.87 |    0.57 | 1 | 1 slice    | 10
 283 | Bread Gluten Free Toasted                | Baked Foods      |     60.06 |    11.07 |     1.04 |     1.27 |    108.02 |    1.03 | 1 | 1 small or | 10
 284 | Bread High Protein Toasted               | Baked Foods      |       269 |    48.13 |     13.3 |     2.42 |       444 |     3.3 | 1 | 100 g      | 10
 285 | Bread Irish Soda                         | Baked Foods      |       297 |    49.88 |     6.27 |     8.93 |       489 |       2 | 1 | 100 g      | 10
 286 | Bread Irish Soda Prepared From Recipe    | Baked Foods      |     82.36 |     15.9 |     1.87 |     1.42 |    113.03 |    0.74 | 1 | 1 oz       | 10
 287 | Bread Italian                            | Baked Foods      |     73.56 |    13.66 |      2.7 |     0.78 |    175.51 |     0.6 | 1 | 1 oz       | 10
 288 | Bread Italian Grecian Armenian           | Baked Foods      |     65.04 |    12.02 |     2.11 |     0.84 |       132 |    0.77 | 1 | 1 small or | 10
 289 | Bread Italian Grecian Armenian Toasted   | Baked Foods      |     65.56 |    12.11 |     2.13 |     0.85 |    132.88 |    0.77 | 1 | 1 small or | 10
 290 | Bread Lard Puerto Rican Style            | Baked Foods      |        70 |    13.88 |     1.74 |     0.73 |     108.5 |     0.5 | 1 | 1 slice    | 10
 291 | Bread Lard Toasted Puerto Rican Style    | Baked Foods      |     71.53 |    14.18 |     1.78 |     0.75 |    110.86 |    0.51 | 1 | 1 slice    | 10
 292 | Bread Multi-Grain (Includes Whole-Grain) | Baked Foods      |     75.26 |    12.31 |     3.79 |      1.2 |     108.2 |     2.1 | 1 | 1 oz       | 10
 293 | Bread Multigrain Toasted                 | Baked Foods      |       291 |    47.63 |    14.68 |     4.65 |       419 |     8.1 | 1 | 100 g      | 10
 294 | Bread Multigrain With Raisins            | Baked Foods      |       268 |    46.92 |    12.33 |     3.85 |       344 |       7 | 1 | 100 g      | 10
 295 | Bread Multigrain With Raisins Toasted    | Baked Foods      |       295 |    51.56 |    13.55 |     4.23 |       378 |     7.7 | 1 | 100 g      | 10
 296 | Bread Native Water Puerto Rican Style    | Baked Foods      |     69.25 |    12.99 |     2.19 |     0.81 |       136 |    0.45 | 1 | 1 slice    | 10
 297 | Bread Nut                                | Baked Foods      |    192.08 |    24.36 |     3.18 |     9.43 |    167.09 |    0.64 | 1 | 1 slice    | 10
